City,Figure,Per Capita,Date,Source,Notes
Amsterdam,440%,,2013,Statistics Netherlands/TNO,
Berlin,83%,,2010,Amt für Statistik Berlin-Brandenburg,
Bogotá,13%,,2012,"Cálculo Secretaría Distrital de Cultura, Recreación y Deporte con base en datos del Observatorio Turístico de Bogotá, Instituto Distrital de Turismo -IDT-",
Brussels,221%,,2013,Observatoire du tourisme à Bruxelles,
Buenos Aires,98%,,2012,ETI CABA,
Dubai,559%,,2015,Dubai Culture and Arts Authority,
Edinburgh,264%,,2013,Visit Britain,
Hong Kong,837%,,2014,Hong Kong Tourism Commission,Figure refers to all overnight and same-day visitor arrivials including tourists from the Mainland China
Istanbul,83%,,2014,Istanbul Provincial Directorate of Culture and Tourism,
Johannesburg,35%,,2010,Gauteng Tourism Authority,
London,200%,,2013,Office for National Statistics,
Los Angeles,64%,,2014,LA Tourism & Convention Board/Census data,
Madrid,116%,,2013,Ayuntamiento de Madrid/Instituto Nacional de Estadística: Encuesta de Ocupación Hotelera,
Melbourne,43%,,2014,"Tourism Research Australia, City of Melbourne Smart City Office",
Montréal,94%,,2010,Office des congrès et du tourisme du grand Montréal (OCTGM),
Moscow,43%,,2012,The Moscow City Government Website,
Mumbai,18%,,2010,Euromonitor International’s top city destinations ranking (2012),
New York,144%,,2014,Euromonitor International’s top city destinations ranking (2012),
Paris,129%,,2013,CRT / Insee,
Rio de Janeiro,22%,,2012,Global Destination Cities Index,
San Francisco,378%,,2013,LA Tourism & Convention Board/Census data,
São Paulo,14%,,2011,SPTuris,
Seoul,113%,,2013,Korea Tourism Organization / Korea Culture and Tourism Institute,
Shanghai,33%,,2014,Shanghai Statistics,
Shenzhen,15%,,2014,Shenzhen Municipal Economic and Social Development Statistics 2014,
Singapore,285%,,2013,Department of Statistics Singapore,
Stockholm,92%,,2013,Stockholm Visitors Board,Figure estimated base on the total number of sleepovers for foreign tourists and day cruise passangers
Sydney,64%,,2015,Destination NSW,
Taipei,260%,,2013,"Department of Cultural Affairs, Taipei City Government",
Tokyo,45%,,2010,"Tokyo Metropolitan Government, Bureau of Industrial and Labor Affairs",
Toronto,58%,,2015,Statistics Canada,
Vienna,258%,,2014,Vienna Annual Statistics 2014,
Warsaw,156%,,2014,City of Warsaw' database,